epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,86.8283,1.80728,2.03826,1.05463,0.5101,0.54072,0.43094,0.23478,1.74332,1.61367,1.04085,0.000414299,0.000414299,0.000414299
2,139.494,1.5725,1.16006,0.99983,0.63876,0.51124,0.4211,0.23857,1.7693,1.67045,1.03575,0.000822739,0.000822739,0.000822739
3,192.57,1.54214,0.96042,0.99175,0.38323,0.47664,0.42555,0.24589,1.66796,1.78148,1.00029,0.00122293,0.00122293,0.00122293
4,243.5,1.456,0.84402,0.97618,0.42082,0.52673,0.40856,0.23714,1.71097,1.83644,1.00859,0.00121287,0.00121287,0.00121287
5,296.459,1.40224,0.78815,0.96358,0.78037,0.55896,0.52346,0.28184,1.73022,1.38177,1.01679,0.0012005,0.0012005,0.0012005
6,349.25,1.36429,0.73337,0.95049,0.80577,0.57748,0.57334,0.29845,1.79145,1.21863,1.02108,0.00118812,0.00118812,0.00118812
7,400.204,1.33104,0.7018,0.93947,0.80724,0.49737,0.56334,0.2616,2.02131,1.31539,1.12167,0.00117575,0.00117575,0.00117575
8,452.249,1.27553,0.6703,0.92776,0.73513,0.43479,0.48084,0.24627,1.92601,1.55496,1.09269,0.00116337,0.00116337,0.00116337
9,505.154,1.26165,0.6522,0.92599,0.56554,0.56365,0.54004,0.24462,2.12456,1.2442,1.16255,0.001151,0.001151,0.001151
10,557.276,1.21417,0.62975,0.91552,0.75297,0.54213,0.55367,0.24443,1.95129,1.32862,1.08517,0.00113863,0.00113863,0.00113863
11,608.781,1.20661,0.61751,0.91494,0.593,0.4254,0.35182,0.14589,2.09895,1.96589,1.17039,0.00112625,0.00112625,0.00112625
12,661.558,1.19088,0.61045,0.91007,0.64141,0.6228,0.6298,0.31335,1.94054,1.05739,1.10829,0.00111388,0.00111388,0.00111388
13,713.555,1.16966,0.59226,0.90288,0.51216,0.4967,0.47266,0.22961,2.01398,1.57657,1.13287,0.0011015,0.0011015,0.0011015
14,764.17,1.15321,0.587,0.9036,0.82181,0.53689,0.59249,0.24072,2.26652,1.19691,1.2065,0.00108913,0.00108913,0.00108913
15,816.361,1.13613,0.57209,0.89939,0.79328,0.54868,0.57685,0.26948,1.97834,1.24523,1.09917,0.00107675,0.00107675,0.00107675
16,868.617,1.11157,0.55992,0.8952,0.51697,0.53888,0.45658,0.2432,1.89616,1.71624,1.08356,0.00106437,0.00106437,0.00106437
17,919.219,1.09513,0.54895,0.88695,0.54732,0.6057,0.55847,0.29274,1.91152,1.27097,1.08951,0.001052,0.001052,0.001052
18,970.74,1.0723,0.53951,0.88569,0.79623,0.59786,0.59123,0.29831,1.97812,1.23781,1.1329,0.00103962,0.00103962,0.00103962
19,1022.5,1.06268,0.5336,0.88515,0.48848,0.57039,0.51006,0.24702,1.98138,1.52511,1.13217,0.00102725,0.00102725,0.00102725
20,1073.69,1.05258,0.52812,0.87934,0.63296,0.58734,0.5682,0.28682,1.93278,1.23088,1.10771,0.00101488,0.00101488,0.00101488
21,1125.09,1.05092,0.52471,0.87886,0.64299,0.57093,0.52305,0.26447,1.90626,1.42403,1.10328,0.0010025,0.0010025,0.0010025
22,1177.09,1.02872,0.51458,0.87764,0.59864,0.59813,0.5824,0.30398,1.9232,1.1994,1.11047,0.000990125,0.000990125,0.000990125
23,1228.72,1.01727,0.51115,0.87303,0.71258,0.55154,0.55291,0.2739,2.02287,1.31819,1.13334,0.00097775,0.00097775,0.00097775
24,1279.51,1.00591,0.50561,0.87288,0.55867,0.61465,0.5107,0.26698,1.92009,1.52216,1.10046,0.000965375,0.000965375,0.000965375
25,1331.87,1.01617,0.50787,0.87427,0.69956,0.48708,0.52271,0.26731,1.94836,1.45817,1.11086,0.000953,0.000953,0.000953
26,1383.99,0.99171,0.49518,0.86872,0.65537,0.52849,0.51653,0.26824,1.91845,1.4211,1.11251,0.000940625,0.000940625,0.000940625
27,1435.17,0.99209,0.49366,0.87038,0.64948,0.60073,0.5433,0.28355,1.892,1.38541,1.10551,0.00092825,0.00092825,0.00092825
28,1487.1,0.96696,0.48562,0.86612,0.7611,0.61206,0.66835,0.33634,1.99591,0.95681,1.10597,0.000915875,0.000915875,0.000915875
29,1539.52,0.97419,0.48883,0.86788,0.56136,0.52814,0.47605,0.22974,1.99339,1.6462,1.12506,0.0009035,0.0009035,0.0009035
30,1590.29,0.94964,0.47418,0.86235,0.66715,0.5544,0.47275,0.25081,1.92141,1.655,1.1006,0.000891125,0.000891125,0.000891125
31,1642.34,0.94829,0.46783,0.86112,0.59792,0.55639,0.5468,0.26703,2.0056,1.31436,1.14375,0.00087875,0.00087875,0.00087875
32,1695.04,0.93473,0.46828,0.85968,0.63388,0.5728,0.49885,0.25396,1.98421,1.41242,1.14672,0.000866375,0.000866375,0.000866375
33,1745.53,0.93064,0.46523,0.85955,0.62847,0.60005,0.53228,0.27122,1.99513,1.39815,1.14448,0.000854,0.000854,0.000854
34,1798.28,0.92752,0.46369,0.85663,0.74475,0.56394,0.55974,0.28067,1.94911,1.3692,1.12006,0.000841625,0.000841625,0.000841625
